Feasting Dragon	4	5	8	Neutral	Dragon	Slay: For the rest of the game, characters in your shop have +1/+1.	Slay: For the rest of the game, characters in your shop have +2/+2.
Friendly Spirit	4	3	4	Good	Monster	Last Breath: Give my Attack and Health to one of your other characters this brawl.	Last Breath: Give double my Attack and Health to one of your other characters this brawl.
Gingerbread Knight	4	7	7	Good	Royal	+7/+7 if you have 20 or less Health.	+14/+14 if you have 20 or less Health.
Greedy	4	4	8	Neutral	Dwarf	When I survive damage, +1 Gold.	When I survive damage, +2 Gold.
Heartwood Elder	4	5	7	Good	Treant	Treant Support: At the start of each brawl, +2/+2 permanently.	Treant Support: At the start of each brawl, +4/+4 permanently.
Hungry Hungry Hippocampus	4	10	1	Good	Animal	When you buy or summon an Animal, I gain +2 Health permanently.	When you buy or summon an Animal, I gain +4 Health permanently.
Juliet	4	7	7	Good	Royal		
King Arthur	4	5	5	Good	Royal	At the start of each brawl, give your Upgraded Royals +2/+2 permanently.	At the start of each brawl, give your Upgraded Royals +4/+4 permanently.
Lady of the Lake	4	3	3	Good	Mage	Ranged Support: +5 Health	Ranged Support: +10 Health
Lightning Dragon	4	10	1	Neutral	Dragon	Flying At the start of each brawl, I make a bonus attack.	Flying At the start of each brawl, I make a bonus attack.
Medusa	4	3	3	Evil	Monster	When I attack a character, first transform it into a 0/6 Statue.	When I attack a character, first transform it into a 0/3 Statue.
Monster Book	4	7	3	Evil	Monster	Last Breath: Cast a random spell.	Last Breath: Cast two random spells.
Puff Puff	4	7	7	Good	Puff Puff	Puff Puffs don't ever triple. Last Breath: Give all your Puff Puffs everywhere +1/+1 permanently.	Last Breath: Give all your Puff Puffs everywhere +2/+2 permanently.
Riverwish Mermaid	4	4	8	Good	Royal	Support: Give characters in front of me "Slay: +1/+1 permanently."	Support: Give characters in front of me "Slay: +2/+2 permanently."
Soltak Ancient	4	0	20	Good	Treant	Prevent all damage to characters behind me, except for when they are attacking.	Prevent all damage to characters behind me, except for when they are attacking.
Sporko	4	3	3	Evil	Mage	Ranged Support: +5 Attack	Ranged Support: +10 Attack
The Chupacabra	4	7	5	Evil	Monster	Slay: Give me and the characters behind me +2 Attack permanently.	Slay: Give me and the the characters behind me +4 Attack permanently.
The Nutcracker	4	4	10	Good	Treant Royal	Quest: I survive damage 4 times.	Quest: I survive damage 4 times.
Time Flies	4	2	2	Neutral	Animal	When one of your characters dies, summon me from your hand.	When one of your characters dies, summon me from your hand.
Angry	5	4	10	Neutral	Dwarf	When I survive damage, give all your Dwarves +2/+2 this brawl.	When I survive damage, give all your Dwarves +4/+4 this brawl.
Aon	5	6	12	Evil	Mage	When you cast a spell, give your Mages +1 Attack permanently. Slay: Your spells cost 1 less next round.	When you cast a spell, give your Mages +2 Attack permanently. Slay: Your spells cost 2 less next round.
Baba Yaga	5	3	6	Evil	Monster Mage	Ranged Support: +3 Attack and double Slay abilities.	Ranged Support: +6 Attack and triple Slay abilities.
Baby Bear	5	2	2	Good	Animal	Last Breath: Summon a 4/4 Papa Bear (that summons a 6/6 Mama Bear).	Last Breath: Summon a 8/8 Papa Bear (that summons an 12/12 Mama Bear).
Cupid	5	1	10	Evil	Fairy	Flying, Ranged When I attack a character, it attacks a character on its own side.	Flying, Ranged When I attack a character, it attacks a character on its own side.
Lancelot	5	9	9	Good	Royal	Slay: +2/+2 permanently. Quest: I have at least 25 Attack or Health during a brawl.	Slay: +4/+4 permanently. Quest: I have at least 25 Attack or Health during a brawl.
Nian, Sea Terror	5	10	10	Evil	Monster	I only need two copies to Upgrade.	
Oni Tyrant	5	7	7	Evil	Monster	When one of your Monsters attacks, give it +7/+7 this brawl.	When one of your Monsters attacks, give it +14/+14 this brawl.
Robin Wood	5	7	10	Good	Treant	Ranged At the start of each brawl, give the strongest enemy -7 Attack, and your weakest character +7 Attack.	Ranged At the start of each brawl, give the strongest enemy -14 Attack, and your weakest character +14 Attack.
Rotten Appletree	5	0	18	Evil	Treant	When I'm attacked, first reduce the attacker's Health to 1.	When I'm attacked, first reduce the attacker's Health to 1.
Shoulder Faeries	5	1	1	Neutral	Fairy	I have the Attack of your strongest Evil character, and the Health of your healthiest Good character.	I have twice the Attack of your strongest Evil character, and twice the Health of your healthiest Good character.
Southern Siren	5	10	10	Evil	Monster	Slay: Summon an exact copy of the slain character.	Slay: Summon two exact copies of the slain character.
Three Big Pigs	5	9	9	Evil	Animal	Last Breath: Summon three 3/3 Pigs.	Last Breath: Summon three 6/6 Pigs.
Tweedle Dee	5	10	3	Neutral	Dwarf	Last Breath: Summon Tweedle Dum with my Attack and Health swapped.	Last Breath: Summon Tweedle Dum with double my Attack and Health swapped.
Wombats in Disguise	5	4	4	Neutral	Animal	Last Breath: Summon a random character and give it my Attack and Health.	Last Breath: Summon a random Upgraded character and give it double my Attack and Health.
Ashwood Elm	6	0	15	Evil	Treant	At the start of each brawl, give your Treants +Attack equal to my Health this brawl.	At the start of each brawl, give your Treants +Attack equal to double my Health this brawl.
Bearstein	6	7	10	Good	Animal Mage	Your other Animals have +2/+2. When you summon an Animal during a brawl, double its Attack and Health.	Your other Animals have +4/+4. When you summon an Animal during a brawl, triple its Attack and Health.
Burning Tree	6	4	20	Evil	Treant	Bonuses to my Attack also add to my Health.	Bonuses to my Attack also add double to my Health.
Doombreath	6	10	6	Evil	Dragon	I also damage characters behind the character I attack.	I also damage characters behind the character I attack.
Echowood	6	1	1	Neutral	Treant	When another one of your characters gains Attack or Health during a brawl, so do I.	When another one of your characters gains Attack or Health during a brawl, I gain twice as much.
Good Boy	6	2	2	Good	Animal	Last Breath: Give your other Good characters my Attack and Health this brawl.	Last Breath: Give your other Good characters double my Attack and Health this brawl.
Great Pumpkin King	6	10	10	Evil	Monster	Last Breath: For each of your dead Evil characters, summon a random lower level Evil character.	Last Breath: For each of your dead Evil characters, summon a random Upgraded lower level Evil character.
Grumblegore	6	10	5	Evil	Monster	Ranged Support: +10 Attack	Ranged Support: +20 Attack
Hercules	6	20	20	Good	Royal	Quest: I deal 100 damage.	Quest: I deal 100 damage.
Jormungand	6	20	20	Neutral	Monster	When another one of your characters triggers a Slay ability, +20/+20 this brawl. Slay: +20/+20 this brawl.	When another one of your characters triggers a Slay ability, +40/+40 this brawl. Slay: +40/+40 this brawl.
Lordy	6	7	7	Neutral	Dwarf	At the start of each brawl, for each Dwarf you have, give them all +2/+2 this brawl.	At the start of each brawl, for each Dwarf you have, give them all +4/+4 this brawl.
Scion of the Storm	6	2	2	Neutral	Mage	+2/+2 for each spell you have cast this game.	+4/+4 for each spell you have cast this game.
The Green Knight	6	10	30	Good	Treant	Support: +10 Health	Support: +20 Health
Awoken Princess	Created	8	8	Good	Royal		
Big Pig	Created	5	5	Evil	Animal		
Captain Croc	Created	10	10	Evil	Animal	Last Breath: Summon the character I swallowed.	Last Breath: Summon all the characters I've swallowed.
Cat	Created	1	1	Evil	Animal		
Frog Prince	Created	5	5	Good	Animal Royal		
Mama Bear	Created	6	6	Good	Animal		
Papa Bear	Created	4	4	Good	Animal	Last Breath: Summon a 6/6 Mama Bear.	Last Breath: Summon a 12/12 Mama Bear.
Pig	Created	10	10	Neutral	Animal		
Sheep	Created	2	2	Good	Animal		
Statue	Created	0	6	Neutral			
Tweedle Dum	Created	0	0	Neutral	Dwarf	
